"|","|__acc","|__gyro"
01:17:08,,902.4981665100513
01:17:09,84.69324877545023,1288.909161198193
01:17:10,93.98878485989552,
01:17:11,130.22775980610186,1683.0881905147116
01:17:12,85.03456678105613,30523.697677315664
01:17:13,113.22463543345111,4475.740599688626
01:17:14,92.6953553305484,3791.462587467562
01:17:15,72.39624292464305,248.7348008843401
01:17:16,92.8312151183027,39.85193544070353
01:17:17,88.31977378486226,384.3383374179612
01:17:18,87.76528746826988,2780.7206228132422
01:17:19,66.86519835931722,7575.059973663375
01:17:20,87.63978718616725,4044.8704559592516
01:17:21,100.20038889245458,17647.30732807146
01:17:22,101.5022004694456,564.658738174182
01:17:23,87.57379115071308,19268.39789934877
01:17:24,97.5893665057547,283.39425617663983
01:17:25,82.57587303800392,1162.2431273696784
01:17:26,111.45868835999954,3547.256608890916
01:17:27,72.78865730741836,692.4644336698558
01:17:28,80.83380687608314,23894.526275532484
01:17:29,116.18205238259634,1717.7877439509757
01:17:30,73.26842901104283,544.3206842272775
01:17:31,117.65834049755811,2549.7679801461936
01:17:32,97.86517473528328,621.4335035268932
01:17:33,86.99430918228425,18826.739930014977
01:17:34,103.4945138989806,4362.668808164385
01:17:35,96.47215175855128,1487.1974423141364
01:17:36,136.31251800514747,8570.55594851021
01:17:37,108.18687475433399,1430.2040597907035
01:17:38,124.8843011405215,4943.555191724086
01:17:39,76.50091354359121,1281.441225376591
01:17:40,88.18089557512302,24.11865404884339
01:17:41,114.41428250966145,2476.935728186713
01:17:42,112.31140309271905,5110.001268469878
01:17:43,144.698640720786,7049.35131711237
01:17:44,86.52616490181119,12.650936845185242
01:17:45,138.32582378454754,20469.000339199025
01:17:46,115.58330241469228,355.98688459439467
01:17:47,100.62130870280909,48582.480697617844
01:17:48,74.60827000448899,2002.4149153261612
01:17:49,125.12424272481259,21178.237484221198
01:17:50,99.00259429647305,26.41721457397398
01:17:51,90.2737265029109,1664.732755175748
01:17:52,83.79620992229411,2911.737240798082
01:17:53,93.80184397271296,
01:17:54,96.57026051169031,8629.287366371896
01:17:55,139.49274325061648,4126.496134239127
01:17:56,118.2873301712052,17590.677879746392
01:17:57,93.94934303535956,21021.188501108965
01:17:58,97.11914688096748,10546.31203123122
01:17:59,105.90041211349673,488.3142897569373
01:18:00,97.73053273224741,4490.436200919004
01:18:01,111.59741601155564,258.87011369841
01:18:02,92.31188912272957,
01:18:03,100.53952779698557,10656.034700570934
01:18:04,89.3241537706831,64.04627462060489
01:18:05,,9019.013853785638
01:18:06,117.62404981672172,8969.15651792716
01:18:07,96.27391056978105,7390.842687335478
01:18:08,95.76728489559218,328.0083245595088
01:18:09,87.91872065008646,3211.9727539030077
01:18:10,,5529.307020651031
01:18:11,94.21753711214251,
01:18:12,94.09360794048644,3214.8790970399323
01:18:13,,1673.5316268626666
01:18:14,105.05816219857479,1536.8914720486828
01:18:15,94.63052409120473,2127.7877500616305
01:18:16,,324.3286991878022
01:18:17,93.3664151339126,
01:18:18,76.10390259352152,0.3782951998337012
01:18:19,103.49080998253157,4181.582997414698
01:18:20,173.81612025644608,24274.22091035194
01:18:21,104.69269984625133,4.151263791013662
01:18:22,109.65855119211756,19.14382755096085
01:18:23,100.97010634214348,4112.936940496738
01:18:24,98.60405965753672,69.15304400145033
01:18:25,106.85857763704281,
01:18:26,121.72350740557158,320.21226564674276
01:18:27,,290.8053157212271
01:18:28,106.42622563613442,5309.852897402745
01:18:29,97.30882363437651,330.11880404142175
01:18:30,103.25821535886416,3687.6195505290734
01:18:31,,24290.65739453878
01:18:32,85.09135772452781,
01:18:33,127.83349701286079,3272.6025693678685
01:18:34,,4072.291203412414
01:18:35,98.37446732322313,4988.507949486889
01:18:36,102.13396788710088,3682.430418792754
01:18:37,,948.042119765164
01:18:38,98.82555603430409,
01:18:39,86.45744227726574,180.43589429894382
01:18:40,104.3314587509458,1806.7798966161301
01:18:41,104.0737684477217,2202.9846401154055
01:18:42,,6781.210625391841
01:18:43,93.91478364667,20317.08954237617
01:18:44,107.29709105933672,
01:18:45,78.89030668253417,6520.5855453525855
01:18:46,81.65583318200332,12520.008088454266
01:18:47,107.41383331969246,84.20614822582229
01:18:48,90.77810754567054,3010.0155050291405
01:18:49,91.19203485388788,510.07373702698163
01:18:50,91.28055203777876,3.692031385639893
01:18:51,75.5254738136009,889.7851279057112
01:18:52,169.2335202566701,26711.67752823744
01:18:53,85.26965948501311,5576.74326065161
01:18:54,125.84193046464223,1824.9121033955091
01:18:55,103.11311235053108,31954.22933982654
01:18:56,111.3118118986331,
01:18:57,,7310.757482357851
01:18:58,101.80253142499896,2157.5021349823387
01:18:59,,72.95984755092832
01:19:00,107.34090308359735,9.552846771312943
01:19:01,103.6892862256691,
01:19:02,105.22685488542173,1414.3803615349145
01:19:03,103.89733616419564,4959.038154114096
01:19:04,101.8519458959072,1422.5041654704391
01:19:05,77.85368402822769,51246.496290062285
01:19:06,80.1096255061002,
01:28:41,84.13520620316103,8.567071442836095
01:28:42,91.98153042265129,340.47421529969637
01:28:43,130.84696640160834,
01:28:44,123.11352764212096,4560.837929305457
01:28:45,42.17963279229025,101401.26115388569
01:28:46,111.28978946291771,
01:28:47,129.66316824682414,35.02864420145579
01:28:48,125.42236583341855,3062.9881464205055
01:28:49,115.610847572445,207.43340026799703
01:28:50,97.13674706621349,505.2752755253205
01:28:51,102.57107542874472,1069.5911166338058
01:28:52,149.761422625651,52.545221680488794
01:28:53,105.7045211705317,662.066349978124
01:28:54,224.56850110845158,
01:28:55,116.34612448127972,622.7821011857022
