|,|__ax,|__ay,|__az,|__gx,|__gy,|__gz,|__h,ACC_N,GYRO,EA,EG,label
20:05:44 294505,-7.8,-5,3.1,-0.1,-0.1,0.1,96,9.769851585,0.173205081,0.223606798,0.173205081,0
20:05:44 651444,-7.9,-4.8,3.1,0,0,0,95,9.749871794,0,0.282842712,0,0
20:05:45 274693,-7.9,-5,3.3,0,0,0,95,9.914635646,0,0.141421356,0.173205081,0
20:05:45 936735,-7.8,-4.9,3.3,0.1,0.1,-0.1,95,9.784681906,0.173205081,0.223606798,0,0
20:05:46 399191,-7.9,-5.1,3.3,0.1,0.1,-0.1,95,9.965440281,0.173205081,7.5,0.141421356,0
20:05:46 948732,-1.9,-5.1,7.8,0.1,0,0,96,9.51104621,0.1,5.791372894,0,1
20:05:47 281570,-6.8,-3.8,5,0.1,0,0,96,9.256349172,0.1,2.111871208,0.331662479,0
20:05:47 962650,-7.7,-5.1,3.6,0.4,0.1,-0.1,96,9.912618221,0.424264069,0.435889894,0.331662479,0
20:05:48 523268,-7.4,-5.2,3.9,0.1,0,0,96,9.849365462,0.1,0.6,0,0
20:05:49 232839,-7.2,-4.8,4.3,0.1,0,0,96,9.662815325,0.1,1.378404875,0.141421356,0
20:05:49 683511,-7.5,-5.8,3.4,0.1,0.1,-0.1,96,10.07223908,0.173205081,0.734846923,0,0
20:05:49 999852,-7.3,-5.3,3.9,0.1,0.1,-0.1,96,9.828021164,0.173205081,0.282842712,0.141421356,0
20:05:50 715413,-7.1,-5.3,4.1,0,0,-0.1,96,9.762684057,0.1,0.223606798,0,0
20:05:51 292490,-7.2,-5.3,3.9,0,0,-0.1,97,9.753973549,0.1,0.244948974,0.141421356,0
20:05:51 930608,-7.1,-5.1,4,-0.1,0,0,97,9.613532129,0.1,0.282842712,0.1,0
20:05:52 365215,-7.1,-5.3,4.2,0,0,0,97,9.805100713,0,0.3,0,0
20:05:52 997201,-7.3,-5.1,4.1,0,0,0,97,9.803570778,0,0.374165739,0,0
20:05:53 565673,-7.2,-5.4,3.9,0,0,0,97,9.808669635,0,0.282842712,0,0
20:05:53 901952,-7.2,-5.2,4.1,0,0,0,97,9.782126558,0,0.223606798,0,0
20:05:54 584299,-7.2,-5.3,3.9,0,0,0,97,9.753973549,0,0.173205081,0,0
20:05:55 179729,-7.3,-5.4,4,0,0,0,97,9.922197337,0,0.331662479,0.1,0
20:05:55 641958,-7.2,-5.1,4.1,0,0,0.1,97,9.729337079,0.1,0.877496439,0,0
20:05:56 252418,-7,-4.8,4.9,0,0,0.1,97,9.800510191,0.1,1.349073756,8.958236434,1
20:05:56 534388,-5.7,-5,4.6,2.2,7.1,-4.9,97,8.868483523,8.902808546,3.324154028,8.868483523,1
20:05:57 237087,-8.9,-5,3.7,0.4,0,0.1,97,10.85817664,0.412310563,1.456021978,0,0
20:05:57 770593,-8.1,-3.8,3.9,0.4,0,0.1,97,9.76012295,0.412310563,4.110960958,0.640312424,0
20:05:58 404260,-6.6,-1.7,7.1,-0.2,-0.2,0,97,9.841747812,0.282842712,0.830662386,0,0
20:05:58 947082,-7,-1.9,6.4,-0.2,-0.2,0,97,9.67315874,0.282842712,0.141421356,0.360555128,0
20:05:59 538248,-7,-2,6.5,0.1,0,0,97,9.759610648,0.1,0.173205081,0,0
20:05:59 878162,-6.9,-2.1,6.4,0.1,0,0,97,9.642613754,0.1,0.244948974,0.2,0
20:06:00 613459,-7.1,-2,6.5,-0.1,0,0,97,9.831581765,0.1,0.244948974,0,0
20:06:01 304260,-7.2,-2.1,6.3,-0.1,0,0,97,9.79489663,0.1,12.74205635,0.538516481,0
20:06:01 468691,1.4,-11.5,6.5,0.1,-0.3,-0.4,97,13.28382475,0.509901951,11.52996097,0,1
20:06:02 245712,-6.7,-3.3,6.2,0.1,-0.3,-0.4,97,9.706698718,0.509901951,0.374165739,0.768114575,0
20:06:02 880038,-6.9,-3,6.1,-0.2,0.2,0.1,97,9.686072475,0.3,0.244948974,0.244948974,0
20:06:03 366459,-7,-2.9,6.3,-0.1,0,0,97,9.853933225,0.1,0.141421356,0,0
20:06:03 821277,-7,-2.8,6.2,-0.1,0,0,97,9.761147474,0.1,0.1,0.1,0
20:06:04 509895,-7,-2.9,6.2,0,0,0,97,9.790301323,0,0.1,0,0
20:06:04 867271,-7,-2.8,6.2,0,0,0,97,9.761147474,0,0.1,0,0
20:06:05 530793,-7,-2.8,6.1,0,0,0,97,9.697937925,0,0.141421356,0,0
20:06:06 193539,-7.1,-2.8,6.2,0,0,0,95,9.833107342,0,26.17040313,0.4,1
20:06:06 637757,8.7,-23.4,2.9,-0.4,0,0,95,25.13284703,0.4,25.46095049,0,1
20:06:06 979867,-7,-3.5,5.3,-0.4,0,0,94,9.451983919,0.4,0.583095189,0.374165739,0
