|,|__ax,|__ay,|__az,|__gx,|__gy,|__gz,|__h,ACC_N,GYRO,EA,EG,label
20:07:20 876602,6.9,-3.7,4,-10.4,3.4,-1.9,90,8.792041856,11.10540409,9.663332758,12.00374941,1
20:07:21 438327,9.3,-9.8,11.1,-1.2,-0.9,-8.3,90,17.4854225,8.434453154,7.966178507,0,1
20:07:22 072491,11.4,-2.5,13.5,-1.2,-0.9,-8.3,91,17.8454476,8.434453154,13.69817506,8.45103544,1
20:07:22 390844,-0.8,-6.7,8.9,5,2.4,-3.6,91,11.16870628,6.612110102,15.20559108,0,1
20:07:23 052192,8.2,-11.2,-2.5,5,2.4,-3.6,92,14.10425468,6.612110102,18.15268575,12.64515718,1
20:07:23 550422,11,-13.4,15.3,-3.2,-3.1,4.3,92,23.12249986,6.191930232,17.15138478,3.277193922,1
20:07:24 144082,0.9,-3.4,5.7,-0.4,-2,5.6,92,6.69776082,5.95986577,7.968061245,0,1
20:07:24 691993,7.5,-7.7,4.5,-0.4,-2,5.6,92,11.65289664,5.95986577,6.389053138,6.097540488,1
20:07:25 315787,3,-8.8,8.9,-5.7,-1.7,2.6,93,12.87050893,6.491532947,6.658828726,0,1
20:07:25 883502,-2.3,-5.1,10.5,-5.7,-1.7,2.6,93,11.89747872,6.491532947,25.00419965,6.256196928,1
20:07:26 574116,-6.5,18,19.1,0.3,-2.2,0.9,93,27.03812124,2.39582971,19.1102067,0,1
20:07:27 122853,-9.5,21.2,0.5,0.3,-2.2,0.9,93,23.23660905,2.39582971,54.59303985,8.353442404,1
20:07:27 286361,22.9,-19.8,-15.3,4.7,-2.1,8,93,33.91961085,9.513148795,28.92645848,0,1
20:07:27 961474,21.7,-19.5,13.6,4.7,-2.1,8,95,32.18850727,9.513148795,24.37498718,5.880476171,1
20:07:28 644346,11.6,0.2,3.4,0.3,1.8,8.1,95,12.08966501,8.303011502,11.28273017,4.777028365,1
20:07:29 269475,1.7,-5,1.9,-3.3,-1.3,7.6,95,5.61248608,8.386894539,5.057667447,0,1
20:07:29 708251,-2.2,-6.4,-1,-3.3,-1.3,7.6,95,6.841052551,8.386894539,29.31654823,4.716990566,1
20:07:30 092621,-7.9,12,21.1,-1.3,-5.3,6.1,95,25.52684861,8.184741902,26.38730755,0,1
20:07:30 725329,7.3,-3,5.6,-1.3,-5.3,6.1,95,9.67729301,8.184741902,10.78378412,5.441507144,1
20:07:31 285761,6.7,-13.7,4.4,-0.3,-0.3,4.2,95,15.87261793,4.221374184,12.64673871,0,1
20:07:32 006059,-0.4,-4.4,9.2,-0.3,-0.3,4.2,95,10.20588066,4.221374184,19.10261762,6.396092557,1
20:07:32 560292,-17.5,3.9,11.1,-1.8,2.6,-1.3,95,21.08719991,3.419064199,10.48332008,0,1
20:07:32 919252,-8.5,0.2,7.2,-1.8,2.6,-1.3,96,11.14136437,3.419064199,8.718371408,4.492215489,1
20:07:33 413347,-16.7,-2.7,6.6,0.1,-1,0.6,96,18.15874445,1.170469991,4.148493703,6.969935437,1
20:07:34 047756,-18.6,-1.9,3,-1.4,-0.7,7.4,96,18.93594466,7.563729239,65.57629145,0,1
20:07:34 569963,39.2,-32.4,8.4,-1.4,-0.7,7.4,96,51.54570787,7.563729239,79.65356238,6.049793385,1
20:07:35 069039,-29.6,7.7,6.6,0,-1.7,1.6,97,31.28913549,2.334523506,26.46979411,0,1
20:07:35 862648,-3.2,6.5,5.1,0,-1.7,1.6,97,8.860022573,2.334523506,22.69559429,3.721558813,1
20:07:36 457136,-25.8,5.3,3.4,0.2,1.7,0.1,97,26.55729655,1.71464282,30.5995098,0,1
20:07:36 869826,-15.1,12.3,31.2,0.2,1.7,0.1,97,36.77961392,1.71464282,26.54091182,6.849817516,1
20:07:37 106850,-11.2,-4.1,10.7,2.2,-1.7,5.7,97,16.02310831,6.341923998,8.469946871,0,1
20:07:37 843148,-14.5,-10.4,6.1,2.2,-1.7,5.7,98,18.8578896,6.341923998,9.198912979,6.69178601,1
20:07:38 415359,-8.6,-3.8,3.6,0,-1.2,-0.6,98,10.06777036,1.341640786,8.144323176,6.69701426,1
20:07:39 099874,-10.3,0,10.6,-1.7,-2.2,5.8,100,14.78005413,6.431951492,58.50820455,0,1
20:07:39 729987,33.3,-38.8,14.7,-1.7,-2.2,5.8,100,53.2016917,6.431951492,47.3169103,14.98165545,1
20:07:40 038244,22.5,6.4,5.8,3.3,-1.4,-8.3,100,24.10082986,9.041017642,31.46521889,0,1
20:07:40 543021,-8,12.3,0.8,3.3,-1.4,-8.3,100,14.69455682,9.041017642,20.17250604,9.029396436,1
20:07:41 158017,-26.2,3.6,0.8,0.5,-0.2,0.2,100,26.45826903,0.574456265,6.57951366,0,1
20:07:41 666577,-21,7.3,-0.8,0.5,-0.2,0.2,100,22.24702227,0.574456265,34.27681432,3.367491648,1
20:07:42 333504,-9,19,29.1,-2.1,1.5,1.5,100,35.9,2.984962311,24.21755562,0,1
20:07:42 900831,-11.5,7.2,8.1,-2.1,1.5,1.5,100,15.80189862,2.984962311,8.073413157,14.06022759,1
20:07:43 540036,-8.2,9.5,1.1,4.1,-2.7,-10.4,100,12.59761882,11.50043477,5.158488151,9.75602378,1
20:07:44 460144,-9.6,14.4,0.3,1.8,1.5,-1.9,100,17.30924608,3.016620626,9.506839643,0,1
20:07:44 605453,-8.5,13.5,9.7,1.8,1.5,-1.9,100,18.67056507,3.016620626,13.89460327,7.906326581,1
20:07:44 739548,-3.7,0.6,7.8,-3.3,-1.4,3.4,99,8.653900855,4.940647731,9.074139078,0,1
20:07:45 750735,-6.5,6.9,1.9,-3.3,-1.4,3.4,99,9.667988415,4.940647731,6.06052803,1.846618531,1
20:07:46 047135,-10.1,9,6.3,-1.9,-0.5,4.2,99,14.9231364,4.636809248,6.649060084,0,1
20:07:46 668125,-5.2,7.4,2.1,-1.9,-0.5,4.2,99,9.284934033,4.636809248,11.98373898,14.58115222,1
20:07:47 269034,-6,1.5,12.5,-13.4,5.1,-2.8,99,13.94632568,14.60855913,14.49517161,0,1
20:07:47 551765,-1.1,-4.8,0.4,-13.4,5.1,-2.8,99,4.940647731,14.60855913,17.07922715,18.18185909,1
20:07:48 381541,-8.6,0.5,14.8,3.4,0.6,2.5,99,17.12454379,4.262628297,22.98891037,8.35463943,1
20:07:48 873873,12.4,-7.7,10.3,-3.6,1.8,6.9,99,17.86448992,7.988116173,18.46320666,0,1
20:07:49 623013,-1.8,4.1,10.2,-3.6,1.8,6.9,99,11.13956911,7.988116173,28.5259531,1.392838828,1
20:07:50 111138,16.8,-17.5,9.1,-2.5,1.5,6.1,99,25.90945773,6.760917098,30.02015989,0,1
20:07:50 731456,-6.8,0.5,13.6,-2.5,1.5,6.1,99,15.21348086,6.760917098,13.32291259,22.29013235,1
20:07:50 867689,0.5,-0.5,2.5,7.8,-7.5,-11.5,100,2.598076211,15.79050348,13.04990421,0,1
20:07:51 546372,11.5,-2.6,9.2,7.8,-7.5,-11.5,100,14.9549323,15.79050348,12.79062156,13.77570325,1
20:07:51 977669,-1.1,-2.6,7,-1.2,1.1,-5.6,100,7.547847375,5.831809325,8.502940668,0,1
20:07:52 724153,-7.2,-0.4,12.5,-1.2,1.1,-5.6,100,14.43086969,5.831809325,8.235289916,5.284884105,1
20:07:53 255754,-7.3,-3.8,5,-1.7,0.3,-0.4,100,9.629641738,1.772004515,0.921954446,0,0
20:07:53 807370,-7.3,-3.2,5.7,-1.7,0.3,-0.4,100,9.798979539,1.772004515,0.316227766,1.791647287,0
20:07:54 132756,-7,-3.2,5.6,0,-0.1,0,101,9.518403227,0.1,1.224744871,0.244948974,0
20:07:54 820232,-7.1,-2.2,6.3,0.2,-0.2,0.1,103,9.743715924,0.3,1.577973384,0,0
20:07:55 404475,-7.3,-3.6,5.6,0.2,-0.2,0.1,103,9.879777325,0.3,0.223606798,0.244948974,0
20:07:55 927381,-7.2,-3.4,5.6,0.1,0,0,104,9.734474819,0.1,0.141421356,0,0
20:07:56 488864,-7.3,-3.3,5.6,0.1,0,0,104,9.774456507,0.1,0.223606798,0.141421356,0
20:07:57 102817,-7.1,-3.3,5.5,0,0,-0.1,105,9.56817642,0.1,0.244948974,0,0
20:07:57 353851,-7.2,-3.2,5.7,0,0,-0.1,105,9.724710793,0.1,0.141421356,0.1,0
20:07:58 062559,-7.1,-3.3,5.7,0,0,0,106,9.684523736,0,0.331662479,0.173205081,0
20:07:58 654077,-7.2,-3,5.6,0.1,0.1,0.1,106,9.602083107,0.173205081,0.223606798,0,0
20:07:59 259771,-7,-3,5.7,0.1,0.1,0.1,107,9.512623192,0.173205081,0.1,0.141421356,0
20:07:59 811979,-7,-3,5.6,0,0,0.1,107,9.453041838,0.1,0.316227766,0,0
20:08:00 401513,-7.3,-3,5.7,0,0,0.1,107,9.735502041,0.1,0.1,0.1,0
20:08:00 932045,-7.3,-3,5.8,0,0,0,108,9.794386147,0,0.1,0,0
20:08:01 443760,-7.3,-3,5.7,0,0,0,108,9.735502041,0,22.39508875,0.223606798,0
20:08:01 953337,-9.3,19.3,6.2,-0.2,-0.1,0,107,22.30291461,0.223606798,19.21067412,0,1
20:08:02 518911,-8.8,0.1,6.6,-0.2,-0.1,0,107,11.00045454,0.223606798,2.942787794,0.447213595,0
20:08:03 031746,-7.9,-1.5,4.3,-0.4,-0.1,-0.4,107,9.118662183,0.574456265,0.948683298,0.81240384,0
20:08:03 685243,-8.4,-1.9,5,0.3,-0.2,0,107,9.958413528,0.360555128,0.591607978,0,0
20:08:03 971577,-7.9,-1.8,4.7,0.3,-0.2,0,107,9.366963222,0.360555128,1.640121947,0.458257569,0
20:08:04 655693,-7.4,-2.8,5.9,-0.1,0,-0.1,107,9.86965045,0.141421356,0.3,0,0
20:08:05 239065,-7.2,-2.6,6,-0.1,0,-0.1,107,9.726253133,0.141421356,0.141421356,0.141421356,0
20:08:06 208031,-7.3,-2.7,6,0,0,0,107,9.827512401,0,4.05339364,0,1
20:08:06 287596,-7.8,-0.4,9.3,0,0,0,107,12.1445461,0,5.085272854,10.77265056,1
20:08:06 852764,-5,-1.5,5.2,0.2,2.4,-10.5,108,7.368174808,10.77265056,3.92173431,0,1
20:08:07 379388,-8.5,-2.7,6.5,0.2,2.4,-10.5,108,11.03585067,10.77265056,2.360084744,10.91604324,1
20:08:07 874234,-7.4,-4.7,7.1,0,-0.2,0.1,109,11.28095741,0.223606798,2.525866188,0,0
20:08:08 517867,-7.3,-3.3,5,0,-0.2,0.1,109,9.443516294,0.223606798,0.244948974,0.244948974,0
20:08:09 075055,-7.4,-3.4,5.2,-0.1,0,0,110,9.662297863,0.1,0.458257569,0.2,0
20:08:09 601092,-7.5,-3,5,0.1,0,0,110,9.5,0.1,0.509901951,0,0
20:08:10 193872,-7.6,-3,5.5,0.1,0,0,111,9.849365462,0.1,0.173205081,0.1,0
20:08:10 456300,-7.5,-3.1,5.6,0,0,0,111,9.860020284,0,0.141421356,0,0
20:08:11 179386,-7.5,-3,5.5,0,0,0,111,9.772410143,0,47.70335418,6.232976817,1
20:08:11 919716,32.7,-26.9,14.9,5,0.4,-3.7,111,44.88774889,6.232976817,48.04518706,0,1
20:08:12 635710,-7.7,-3.2,4.2,5,0.4,-3.7,111,9.336487562,6.232976817,0.670820393,6.093439095,1
20:08:12 718651,-7.5,-3.7,4.6,0.1,0,-0.1,111,9.544631999,0.141421356,0.509901951,0,0
20:08:13 415682,-7.6,-3.7,5.1,0.1,0,-0.1,111,9.872183143,0.141421356,0.565685425,0,0
20:08:13 875921,-7.6,-4.1,4.7,0.1,0,-0.1,111,9.831581765,0.141421356,0.141421356,0.141421356,0
20:08:14 468700,-7.5,-4.1,4.6,0,0,0,111,9.706698718,0,0.360555128,0,0
20:08:15 025515,-7.5,-3.8,4.8,0,0,0,111,9.681425515,0,0.3,0.1,0
20:08:15 646273,-7.5,-4.1,4.8,0,-0.1,0,111,9.803060747,0.1,0.223606798,0,0
20:08:15 970907,-7.3,-4.1,4.9,0,-0.1,0,110,9.701030873,0.1,0.806225775,0.1,0
20:08:16 785167,-7.8,-3.5,4.7,0,0,0,110,9.75602378,0,6.934695379,0,0
20:08:17 124655,-12.2,-2.7,10,0,0,0,107,16.00406198,0,7.286288493,0.424264069,1
20:08:17 739677,-7.4,-4.1,4.7,0.1,0.1,0.4,106,9.67780967,0.424264069,0.6,0,0
20:08:18 326408,-7,-3.9,5.1,0.1,0.1,0.4,106,9.498420921,0.424264069,0.509901951,0.424264069,0
20:08:18 883315,-7.3,-4.3,5,0,0,0,106,9.837682654,0,0.244948974,0,0
20:08:19 476019,-7.1,-4.4,5.1,0,0,0,106,9.786725704,0,0.282842712,0,0
20:08:20 064686,-7.1,-4.2,5.3,0,0,0,106,9.805100713,0,0.806225775,0.2,0
20:08:20 478780,-7.1,-3.5,5.7,0.2,0,0,106,9.754486147,0.2,0.244948974,0,0
20:08:21 065909,-7,-3.7,5.6,0.2,0,0,105,9.697937925,0.2,29.23781798,0.223606798,1
20:08:21 743638,-1.8,19.8,22.2,0,-0.1,0,105,29.80134225,0.1,22.46085484,0,1
20:08:22 350107,-6.6,0.7,11.4,0,-0.1,0,105,13.191285,0.1,6.94046108,0.223606798,0
20:08:22 644944,-7.5,-3.3,5.8,0.1,0.1,0,105,10.03892425,0.141421356,0.244948974,0,0
20:08:23 883204,-7.4,-3.2,5.6,0.1,0.1,0,105,9.816312953,0.141421356,0.374165739,0.244948974,0
20:08:24 140522,-7.6,-3.1,5.3,-0.1,0,-0.1,106,9.77036335,0.141421356,0.331662479,0,0
20:08:24 567482,-7.7,-2.8,5.2,-0.1,0,-0.1,106,9.704122835,0.141421356,0.1,0.316227766,0
20:08:24 752122,-7.7,-2.8,5.1,0.2,0,0,106,9.650906693,0.2,0.141421356,0.223606798,0
20:08:25 617116,-7.7,-2.9,5.2,0,0,-0.1,106,9.733447488,0.1,0.244948974,0,0
20:08:26 123357,-7.6,-3.1,5.3,0,0,-0.1,107,9.77036335,0.1,35.89024937,5.88812364,1
20:08:26 644332,25.3,-17.4,4.2,3.3,1.3,-4.8,107,30.9917731,5.968249325,41.60817227,0,1
20:08:26 825789,-11.5,1,10.4,3.3,1.3,-4.8,109,15.5373743,5.968249325,6.907242576,5.98414572,1
20:08:27 628309,-7.6,-2.5,5.9,-0.1,0.2,0,109,9.940824915,0.223606798,0.435889894,0,0
20:08:28 094631,-7.9,-2.2,5.8,-0.1,0.2,0,110,10.04440143,0.223606798,0.412310563,0.223606798,0
20:08:28 633888,-7.5,-2.2,5.9,0,0,0,110,9.792854538,0,0.4,0,0
20:08:29 032395,-7.5,-2.6,5.9,0,0,0,112,9.890399385,0,0.360555128,0,0
20:08:29 721490,-7.5,-2.3,5.7,0,0,0,113,9.696906723,0,0.374165739,0,0
20:08:30 227424,-7.4,-2.6,5.9,0,0,0,113,9.814784766,0,0.173205081,0,0
20:08:30 915149,-7.3,-2.5,5.8,0,0,0,115,9.652978815,0,0.223606798,0,0
20:08:31 301199,-7.4,-2.7,5.8,0,0,0,115,9.782126558,0,7.884795495,0,0
20:08:31 861082,-7,2.4,11.8,0,0,0,117,13.92838828,0,6.084406298,8.23468275,1
20:08:32 408271,-5.9,-3.5,10.8,-4.2,-3.6,6.1,117,12.79453008,8.23468275,5.444263036,0,1
20:08:33 012802,-7.5,-3.7,5.6,-4.2,-3.6,6.1,117,10.06479011,8.23468275,0.921954446,8.518215776,1
20:08:33 489463,-7.7,-2.8,5.6,0.4,0,-0.1,117,9.924212815,0.412310563,1.392838828,0,0
20:08:34 094886,-7.4,-1.5,6,0.4,0,-0.1,117,9.644169223,0.412310563,0.7,0.141421356,0
20:08:34 637342,-7.4,-2.2,6,0.3,0,-0.2,117,9.777525249,0.360555128,0.316227766,0.447213595,0
20:08:35 210952,-7.1,-2.2,6.1,-0.1,0,0,117,9.615612305,0.1,0.244948974,0,0
20:08:35 724896,-7.3,-2.1,6.2,-0.1,0,0,117,9.805100713,0.1,1.609347694,0.360555128,0
20:08:36 290864,-6.8,-2.4,7.7,0.2,-0.2,0,117,10.54940757,0.282842712,14.58595215,0,1
20:08:36 813520,7.3,-5.9,6.4,0.2,-0.2,0,117,11.36045774,0.282842712,15.25581856,1.791647287,0
20:08:37 439881,-7.9,-4.6,6.3,-0.9,1.2,-0.2,117,11.10225202,1.513274595,2.236067977,0,0
20:08:37 937092,-7.5,-2.4,6.3,-0.9,1.2,-0.2,117,10.08464179,1.513274595,0.435889894,1.630950643,0
20:08:38 433229,-7.4,-2.7,6,0.2,0,-0.1,117,9.902019996,0.223606798,0.141421356,0,0
20:08:38 980473,-7.4,-2.8,5.9,0.2,0,-0.1,117,9.86965045,0.223606798,0.223606798,0.223606798,0
20:08:39 619153,-7.4,-2.9,5.7,0,0,0,117,9.780593029,0,0.1,0,0
20:08:40 079713,-7.4,-2.9,5.6,0,0,0,117,9.722653959,0,0.1,0,0
20:08:40 659637,-7.5,-2.9,5.6,0,0,0,117,9.798979539,0,0.469041576,0.223606798,0
20:08:41 210679,-7.3,-2.6,5.9,0,-0.2,-0.1,116,9.739609848,0.223606798,16.96761621,0,1
20:08:41 637467,6.2,-12.4,2.8,0,-0.2,-0.1,116,14.14354977,0.223606798,16.28312009,0.707106781,1
20:08:42 282413,-7,-3.1,4.9,-0.1,-0.2,0.6,116,9.089554445,0.640312424,0.818535277,0,0
20:08:42 729739,-7.3,-3.8,5.2,-0.1,-0.2,0.6,116,9.734988444,0.640312424,0.1,0.640312424,0
20:08:43 297429,-7.3,-3.9,5.2,0,0,0,116,9.774456507,0,0.3,0,0
20:08:43 910246,-7.3,-3.6,5.2,0,0,0,116,9.658674857,0,0.173205081,0,0
20:08:44 460428,-7.4,-3.7,5.3,0,0,0,116,9.825477088,0,0.141421356,0,0
20:08:44 984522,-7.3,-3.8,5.3,0,0,0,116,9.788769075,0,0.141421356,0,0
20:08:45 582321,-7.3,-3.9,5.2,0,0,0,116,9.774456507,0,0.141421356,0.469041576,0
20:08:46 147043,-7.2,-3.9,5.1,-0.2,-0.3,-0.3,116,9.646761114,0.469041576,11.28095741,0,0
20:08:46 609123,3.7,-6.5,3.8,-0.2,-0.3,-0.3,116,8.389278872,0.469041576,11.13103769,0.748331477,1
20:08:47 156733,-7,-3.6,4.8,0.4,-0.1,-0.7,115,9.219544457,0.81240384,1.838477631,0,0
20:08:47 710794,-7.1,-2.7,6.4,0.4,-0.1,-0.7,116,9.932774033,0.81240384,0.509901951,0.81240384,0
20:08:48 281061,-7,-2.2,6.4,0,0,0,116,9.736529156,0,0.360555128,0,0
20:08:48 762201,-7,-2.5,6.6,0,0,0,122,9.940321926,0,0.374165739,0,0
20:08:49 325811,-7.1,-2.2,6.4,0,0,0,122,9.808669635,0,0.173205081,0,0
20:08:49 897473,-7,-2.1,6.5,0,0,0,125,9.780593029,0,0.331662479,0,0
20:08:50 513535,-6.9,-2.4,6.4,0,0,0,125,9.712363255,0,0.141421356,0,0
20:08:50 926019,-7,-2.3,6.4,0,0,0,126,9.759610648,0,37.5993351,0,0
20:08:51 539511,24.9,-20,-2.7,0,0,0,126,32.05152102,0,39.06827357,0.943398113,1
20:08:52 033919,-7.8,-1,7.1,-0.9,0.2,0.2,127,10.59481005,0.943398113,1.813835715,0,0
20:08:52 679288,-7.4,-2.2,5.8,-0.9,0.2,0.2,127,9.656086164,0.943398113,0.7,0.787400787,0
20:08:53 138768,-7.4,-2.9,5.8,-0.2,0,-0.1,127,9.839207285,0.223606798,0.244948974,0,0
20:08:53 749013,-7.3,-3.1,5.9,-0.2,0,-0.1,126,9.884836873,0.223606798,0.640312424,0.223606798,0
20:08:54 228790,-7.4,-2.5,5.7,0,0,0,126,9.669539803,0,0.223606798,0,0
20:08:54 817622,-7.5,-2.7,5.7,0,0,0,126,9.799489783,0,0.1,0.1,0
20:08:55 229278,-7.4,-2.7,5.7,0,0,0.1,126,9.723168208,0.1,0.141421356,0.1,0
20:08:55 842153,-7.4,-2.8,5.8,0,0,0,125,9.810198775,0,47.25219572,0,0
20:08:56 411716,37.2,-16.8,-1.1,0,0,0,125,40.83246258,0,47.98426826,0.866025404,1
20:08:57 015492,-8.1,-1.6,3.3,-0.7,-0.1,-0.5,125,8.89156904,0.866025404,1.539480432,0,0
20:08:57 568920,-8.3,-2.4,4.6,-0.7,-0.1,-0.5,125,9.788258272,0.866025404,0.331662479,0.866025404,0
20:08:58 075065,-8,-2.3,4.7,0,0,0,124,9.559288676,0,0.435889894,0,0
20:08:58 677806,-8.1,-2.6,5,0,0,0,124,9.867623827,0,0.316227766,0,0
20:08:59 197480,-8.2,-2.6,4.7,0,0,0,123,9.802550688,0,0.223606798,0,0
20:09:00 120453,-8,-2.6,4.8,0,0,0,123,9.68504001,0,0.141421356,0,0
20:09:00 340716,-8,-2.7,4.7,0,0,0,123,9.663332758,0,0.374165739,0,0
20:09:00 844988,-8.2,-2.8,5,0,0,0,122,10.0039992,0,8.10678728,0,0
20:09:01 313723,-12,-7,10.8,0,0,0,122,17.59659058,0,13.27139782,6.007495318,1
20:09:01 898854,-8.5,5.8,10.6,-3.5,-2.8,4,121,14.7732867,6.007495318,10.37448794,0,1
20:09:02 395808,-7.6,-3.3,5.7,-3.5,-2.8,4,121,10.05683847,6.007495318,0.6164414,6.054750201,0
20:09:03 060903,-7.8,-3,5.2,0,0.1,0,121,9.842763839,0.1,0.435889894,0,0
20:09:03 605058,-7.7,-3.3,4.9,0,0.1,0,121,9.70515327,0.1,0.331662479,0.141421356,0
20:09:03 905949,-7.6,-3.4,5.2,-0.1,0,0,120,9.816312953,0.1,0.3,0,0
20:09:04 714422,-7.8,-3.5,5,-0.1,0,0,120,9.90403958,0.1,0.3,0.141421356,0
20:09:05 274246,-7.8,-3.2,5,0,0.1,0,119,9.802040604,0.1,0.223606798,0.1,0
20:09:05 825378,-7.7,-3.2,4.8,0,0,0,118,9.621330469,0,14.68094002,0,0
20:09:06 367559,-11.6,6.4,15.2,0,0,0,118,20.16333306,0,7.400675645,5.852349955,1
20:09:06 893955,-7,0.8,13.7,-3.4,-3.7,3,117,15.40551849,5.852349955,10.46661359,0,0
20:09:07 416268,-6.7,-4.7,4.8,-3.4,-3.7,3,117,9.487887015,5.852349955,0.938083152,6.08358447,0
20:09:08 010618,-7.3,-4.1,4.4,0.2,0.1,-0.1,117,9.458329662,0.244948974,0.866025404,0,0
20:09:08 531482,-7.4,-4.6,5.1,0.2,0.1,-0.1,117,10.09603883,0.244948974,0.64807407,0.244948974,0
20:09:09 039226,-7.3,-4.1,4.7,0,0,0,116,9.601562373,0,0.4,0,0
20:09:09 687206,-7.3,-4.5,4.7,0,0,0,116,9.779059259,0,0.141421356,0,0
20:09:10 188057,-7.4,-4.4,4.7,0,0,0,116,9.808669635,0,0.173205081,0.1,0
20:09:10 776587,-7.5,-4.3,4.6,0,0,-0.1,115,9.792854538,0.1,0.768114575,0,0
20:09:11 263998,-8,-3.8,4.9,0,0,-0.1,115,10.12175874,0.1,4.170131892,6.388270501,1
20:09:11 804608,-8.7,-3.5,9,-2.4,-3.6,4.6,115,12.9976921,6.315061362,4.317406629,0,1
20:09:12 260218,-7.9,-2.9,4.8,-2.4,-3.6,4.6,115,9.688137076,6.315061362,0.64807407,6.315061362,1
20:09:12 960346,-8,-3.4,4.4,0,0,0,114,9.742689567,0,0.316227766,0,0
20:09:13 405942,-8.1,-3.4,4.7,0,0,0,114,9.962931296,0,0.244948974,0,0
20:09:14 029677,-8,-3.5,4.5,0,0,0,114,9.823441352,0,0.3,0,0
20:09:14 512409,-8,-3.2,4.5,0,0,0,114,9.72059669,0,0.316227766,0,0
20:09:15 109200,-8,-3.5,4.4,0,0,0,113,9.778036613,0,0.173205081,0,0
20:09:15 650115,-7.9,-3.4,4.5,0,0,0,113,9.706698718,0,2.844292531,0,0
20:09:16 185962,-10.7,-3.1,4.9,0,0,0,112,12.17004519,0,7.857480512,5.953990259,1
20:09:16 714784,-3.3,-1.8,2.6,-1,-2.3,5.4,112,4.570557953,5.953990259,6.54064217,0,1
20:09:17 291870,-5,0.7,8.4,-1,-2.3,5.4,112,9.800510191,5.953990259,1.624807681,6.007495318,1
20:09:17 828790,-4.8,-0.9,8.2,0,-0.1,-0.1,111,9.54410813,0.141421356,2.694438717,0,0
20:09:18 392176,-4.1,1.7,8.3,0,-0.1,-0.1,111,9.412226092,0.141421356,5.326349594,1.284523258,0
20:09:18 940040,-0.7,5.8,8.3,0.7,-0.5,0.9,110,10.14987685,1.24498996,4.009987531,0,0
20:09:19 504420,3.1,6.6,7.3,0.7,-0.5,0.9,110,10.31794553,1.24498996,4.789572006,2.563201124,0
20:09:20 120878,-1.4,7.6,6,-0.2,-0.5,-1.5,109,9.783659847,1.593737745,9.783659847,1.593737745,0
