"|","|__acc","|__gyro"
"01:18:26 652585","","623.9263733640992"
"01:18:26 816074","121.72350740557158",""
"01:18:27 793981","","290.8053157212271"
"01:18:28 178863","106.4262256361344",""
"01:18:28 574502","","5309.852897402745"
"01:18:29 047712","97.3088236343765",""
"01:18:29 506316","","330.11880404142175"
"01:18:30 031037","101.35486104045958",""
"01:18:30 624715","","3687.6195505290743"
"01:18:30 794488","105.16156967726874",""
"01:18:31 578045","","24290.65739453878"
"01:18:32 160824","81.35738259872414",""
"01:18:32 757744","88.8253328503315",""
"01:18:33 111127","","3272.6025693678685"
"01:18:33 564048","127.83349701286079",""
"01:18:34 428599","","4072.291203412414"
"01:18:35 228950","","4988.507949486889"
"01:18:35 371513","98.37446732322314",""
"01:18:36 049965","","5785.906074692321"
"01:18:36 439633","107.40699387898894",""
"01:18:36 677365","","1578.9547628931878"
"01:18:36 955642","96.86094189521282",""
"01:18:37 990934","","948.042119765164"
"01:18:38 795062","98.8255560343041",""
"01:18:39 157074","","180.43589429894382"
"01:18:39 546655","86.45744227726573",""
"01:18:40 102476","","1806.77989661613"
"01:18:40 364537","104.73001828149154",""
"01:18:40 809919","103.93289922040003",""
"01:18:41 271676","","57.21441379983389"
"01:18:41 716825","104.0737684477217",""
"01:18:41 907788","","4348.754866430977"
"01:18:42 710235","","6781.210625391841"
"01:18:43 406502","93.91478364667",""
"01:18:43 933094","","20317.089542376172"
"01:18:44 477649","107.29709105933671",""
"01:18:45 345828","","6520.585545352585"
"01:18:45 599150","78.89030668253417",""
"01:18:46 096111","","10854.868251438365"
"01:18:46 539233","81.65583318200333",""
"01:18:46 952463","","14185.14792547017"
"01:18:47 282579","107.41383331969246",""
"01:18:47 737296","","84.20614822582229"
"01:18:48 102923","105.35048662261033",""
"01:18:48 351434","76.20572846873074",""
"01:18:48 832661","","3010.0155050291405"
"01:18:49 551393","91.19203485388789",""
"01:18:49 964288","","510.0737370269817"
"01:18:50 420314","","3.6920313856398934"
"01:18:50 780797","91.28055203777876",""
"01:18:51 242230","","889.7851279057113"
"01:18:51 448787","75.52547381360091",""
"01:18:52 270831","","26711.67752823744"
"01:18:52 688719","169.2335202566701",""
"01:18:53 361729","","5576.74326065161"
"01:18:53 964840","85.26965948501311",""
"01:18:54 352749","","1824.912103395509"
"01:18:54 850389","125.84193046464225",""
"01:18:55 371001","","31954.229339826536"
"01:18:55 801875","103.11311235053108",""
"01:18:56 657088","111.3118118986331",""
"01:18:57 501960","","5036.328289304702"
"01:18:57 938276","","9585.186675411001"
"01:18:58 212660","103.82689429701259",""
"01:18:58 595754","","2157.5021349823382"
"01:18:58 973721","99.77816855298533",""
"01:18:59 628031","","72.95984755092832"
"01:19:00 374175","107.34090308359737",""
"01:19:00 924581","","9.552846771312943"
"01:19:01 156606","103.6892862256691",""
"01:19:02 027383","","1414.3803615349143"
"01:19:02 330553","105.22685488542174",""
"01:19:03 072378","","4959.038154114096"
"01:19:03 491936","103.89733616419562",""
"01:19:04 081682","","889.7923499561475"
